Entry	Entry Name
A0A0S2Z4G9	A0A0S2Z4G9_HUMAN
A0A0S2Z4J1	A0A0S2Z4J1_HUMAN
A0A0S2Z4M1	A0A0S2Z4M1_HUMAN
A0A0S2Z4N5	A0A0S2Z4N5_HUMAN
A0A0S2Z4Q4	A0A0S2Z4Q4_HUMAN
A0A0S2Z4R0	A0A0S2Z4R0_HUMAN
A0A0S2Z4U3	A0A0S2Z4U3_HUMAN
A0A0S2Z4Z8	A0A0S2Z4Z8_HUMAN
A0A0S2Z5D6	A0A0S2Z5D6_HUMAN
A0A0S2Z5G4	A0A0S2Z5G4_HUMAN
A0A0S2Z5J4	A0A0S2Z5J4_HUMAN
A0A0S2Z5U8	A0A0S2Z5U8_HUMAN
A0A0S2Z5X4	A0A0S2Z5X4_HUMAN
A0A0U1RNJ1	A0A0U1RNJ1_MOUSE
A0A0U1RNR0	A0A0U1RNR0_MOUSE
A0A0U1RPR8	GUC2D_MOUSE
A0A0U1RPX4	A0A0U1RPX4_MOUSE
A0A0U1RQC9	A0A0U1RQC9_HUMAN
A0A0U1RQF0	A0A0U1RQF0_HUMAN
A0A0U1RQI6	A0A0U1RQI6_HUMAN
A0A0U1RQV4	A0A0U1RQV4_HUMAN
A0A0U1RRE5	NBDY_HUMAN
A0A0U1WL47	A0A0U1WL47_HUMAN
A0A0U5J4W4	A0A0U5J4W4_MOUSE
A0A140LHL5	A0A140LHL5_MOUSE
A0A140LI88	ANR31_MOUSE
A0A140LIF8	IRGM2_MOUSE
A0A140VJC8	A0A140VJC8_HUMAN
A0A140VJE4	A0A140VJE4_HUMAN
A0A140VJG8	A0A140VJG8_HUMAN
A0A140VJL2	A0A140VJL2_HUMAN
A0A140VJL3	A0A140VJL3_HUMAN
A0A140VJL7	A0A140VJL7_HUMAN
A0A140VJL8	A0A140VJL8_HUMAN
A0A140VJL9	A0A140VJL9_HUMAN
A0A140VJM0	A0A140VJM0_HUMAN
A0A140VJU3	A0A140VJU3_HUMAN
A0A140VK09	A0A140VK09_HUMAN
A0A140VK13	A0A140VK13_HUMAN
A0A140VK69	A0A140VK69_HUMAN
A0A140VKC1	A0A140VKC1_HUMAN
A0A140VKC4	A0A140VKC4_HUMAN
A0A1B0GR13	CYLC1_MOUSE
A0A1B0GTB8	A0A1B0GTB8_HUMAN
A0A1B0GTG2	A0A1B0GTG2_HUMAN
A0A1B0GTM3	A0A1B0GTM3_HUMAN
A0A1B0GTW7	CIROP_HUMAN
A0A1B0GTZ5	A0A1B0GTZ5_HUMAN
A0A1B0GUA1	A0A1B0GUA1_HUMAN
A0A1B0GUA4	A0A1B0GUA4_HUMAN
A0A1B0GUE3	A0A1B0GUE3_HUMAN
A0A1B0GUG1	A0A1B0GUG1_HUMAN
A0A1B0GUH5	A0A1B0GUH5_HUMAN
A0A1B0GV75	A0A1B0GV75_HUMAN
A0A1B0GVF3	A0A1B0GVF3_HUMAN
A0A1B0GW56	A0A1B0GW56_HUMAN
A0A1B0GW68	A0A1B0GW68_HUMAN
A0A1B0GW77	A0A1B0GW77_HUMAN
A0A1B0GW82	A0A1B0GW82_HUMAN
A0A1B0GWC0	A0A1B0GWC0_HUMAN
A0A1B0GWI1	A0A1B0GWI1_HUMAN
A0A1B1RVA9	A0A1B1RVA9_HUMAN
A0A1D9BZF0	GCNA_MOUSE
A0A1K0FUB6	A0A1K0FUB6_HUMAN
A0A1L1SQU7	A0A1L1SQU7_MOUSE
A0A1L1SSL9	A0A1L1SSL9_MOUSE
A0A1L1SUI3	A0A1L1SUI3_MOUSE
A0A1L1SUV7	A0A1L1SUV7_MOUSE
A0A1L1SV42	A0A1L1SV42_MOUSE
A0A1L1UHR1	A0A1L1UHR1_HUMAN
A0A1U9X785	A0A1U9X785_HUMAN
A0A1U9X797	A0A1U9X797_HUMAN
A0A1U9X7R0	A0A1U9X7R0_HUMAN
A0A1U9X7W4	A0A1U9X7W4_HUMAN
A0A1U9X8X8	A0A1U9X8X8_HUMAN
A0A1V0DNR6	A0A1V0DNR6_MOUSE
A0A1V0DNR7	A0A1V0DNR7_HUMAN
A0A1W2P872	NOVA2_MOUSE
A0A1Y1BBN3	A0A1Y1BBN3_HUMAN
A0A1Y1BG54	A0A1Y1BG54_HUMAN
A0A1Y7VMN0	A0A1Y7VMN0_MOUSE
A0A1Y7VMP7	A0A1Y7VMP7_MOUSE
A0A218KGR2	A0A218KGR2_HUMAN
A0A223PQI4	A0A223PQI4_HUMAN
A0A286YDC0	A0A286YDC0_MOUSE
A0A286YE25	A0A286YE25_MOUSE
A0A2I3BPT1	A0A2I3BPT1_MOUSE
A0A2I3BQ46	A0A2I3BQ46_MOUSE
